[ 9270 21969  2343     5    18    22  1860   198],17025.2
[ 2860 45659  1337     1    18    28  2864  1184],21235.199999999997
[ 7390 37545  2389     2    16    31  2234   537],19978.5
[ 7191 36668  4566     2     9    53  2323  1144],14679.4
[13964 23061  1606     2     9    58  2079   300],16007.8
[13284 13716  1165     4     3    47  1180   723],9922.8
[ 7734 39749  2567     5     7    40  1833  1598],15292.699999999999
[ 8265 39144  3058     4    19    32  1055   962],22038.199999999997
[ 2466 16907  2324     3    19    63  1109  1459],12759.099999999999
[ 6426 18777  1728     2    17    51  2656    67],14720.599999999999
[ 7578 27693  3848     3    13    47   871  1788],14743.4
[13636 42928  3043     1    17    52  1115  1945],24944.9
[13363 26329  1101     1    13    30  2414   458],18893.7
[13111 46892  4496     4    19    23  2753  1537],24930.1
[10322 16282  2415     5    14    47  1346   397],13966.599999999999
[ 3685 23624  1778     3     3    55   542   619],8360.2
[ 2769 23321  1213     5    12    51  1364  1309],11437.8
[12583 10488  4762     4     7    35  1768  1584],8080.9
[ 8949 22574  2111     1    17    36  1878  1163],16970.7
[4433 5240 2576    5   11   33 1284  729],5994.0
[ 7311 43221  3448     5    13    55   975   555],19632.8
[ 7051 10478  3635     1     1    31   582  1952],3884.4
[ 8420 45162  3936     3    17    41  1633   780],22484.1
[ 3184 19262  4117     1     1    31  2737  1613],3437.0999999999995
[6555 4432 2695    5   10   50 1299 1751],5734.6
[ 5385 29721  4534     3     8    55  1435   893],11577.8
[14309 13568  1591     3    11    42  2798   609],13625.9
[ 8396 14178  2333     1    16    58  2838   747],13292.4
[13096 22195  2109     5    14    51  2168   281],16927.5
[10666   302  3139     4    16    34   825   660],10311.6
[11274 17022  4731     5    17    44  2034   923],14399.599999999999
[4558   55 3720    2    5   52 2485 1839],373.5
[ 9849 45781  1713     4    16    56  2464   995],23272.8
[4047 8717 1935    3   17   52 1336 1959],9923.6
[ 4747 28699  2951     4     7    35  1007  1601],10903.699999999999
[11167  8150  1241     3     8    63  2619   745],9126.0
[11998  2125  3043     3     5    55  1770  1480],5390.0
[ 2189 44247  4936     4     4    23  1140    86],12487.6
[ 4734 48513  1001     3    11    36  2378  1102],19580.4
[ 5005 16748  3272     3    10    25  1107  1228],9123.4
[ 6658 39577  3848     2     0    41  2458   790],11254.1
[3899 4621 2768    5   10   30 1065 1360],4739.3
[ 9734 15034  2949     5    18    39  1867  1277],14330.7
[ 3267 46391  3636     2     8    45  2601   303],15880.8
[3528 5126 3163    4    1   24 2253 1403],-407.70000000000005
[13394  5122  4737     1    11    49  2081   129],10060.1
[ 5556 18030  1917     1     3    39  2486   595],6988.0
[ 5890 17302  4174     1     3    63  2740  1299],5329.099999999999
[10838 19181  3241     2    17    22  2605  1722],15489.3
[13080 38638  4237     2    14    30   628   557],22020.4
[7393 1531 3918    3   18   63 2372  898],8961.8
[12627 40940  1089     1    12    45  1205  1206],22645.5
[10792 40441  2709     4    18    40  1351  1291],23052.8
[12555 23333  3169     4    16    39   507  1831],17723.9
[12253 39650  1142     1     5    43  2576  1345],17790.0
[10433 34674  4041     1    15    44  1635  1535],19313.199999999997
[12233 35854  1105     1    11    31  2678  1635],19463.699999999997
[13016 46271  1886     2    18    54  2735    77],26640.3
[9513 8152 1427    2    4   48 2198  783],6598.1
[ 4612 38518  2328     2    16    25  1998  1362],18617.4
[ 9041 45540  2895     5     0    25  2759   673],14019.0
[11555 10267  2994     4     9    41  2144  1579],9199.1
[ 8235 25289  1316     4    14    32   775  1532],16092.7
[7486 1062 2986    3   10   24 2202  237],5749.1
[ 9099 29926  1634     2    12    62  2295  1157],16584.3
